Course Code,Exam Type,Date(s),Room Info
EOM-3010,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
EOM-3010,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
EOM-3901,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
EOM-3901,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
FLY-1008,Oppgave,Innlevering: 25. november 2024 kl. 14:00,N/A
FLY-1009,Hjemmeeksamen,"Utlevering: 4. desember 2024 kl. 09:00
Innlevering: 11. desember 2024 kl. 14:00",N/A
FLY-1600,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
FLY-2140,Oppgave,Innlevering: 20. januar 2025 kl. 14:00,N/A
FLY-2140,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
FLY-2145,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
FLY-2601,Skriftlig skoleeksamen,Dato: 5. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
FLY-2603,Muntlig eksamen,Dato: 27. november 2024 kl. 08:00,N/A
FLY-3003,Hjemmeeksamen,"Utlevering: 12. mai 2025 kl. 09:00
Innlevering: 26. mai 2025 kl. 14:00",N/A
FLY-3006,Hjemmeeksamen,"Utlevering: 12. november 2024 kl. 09:00
Innlevering: 26. november 2024 kl. 14:00",N/A
FLY-3930,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
FYS-0001,Hjemmeeksamen,"Utlevering: 16. desember 2024 kl. 09:00
Innlevering: 16. desember 2024 kl. 12:00",N/A
FYS-0100,Skriftlig skoleeksamen,Dato: 16. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FYS-1001,Skriftlig skoleeksamen,Dato: 4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FYS-1002,Skriftlig skoleeksamen,Dato: 26. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
FYS-1003,Hjemmeeksamen,Innlevering: 3. april 2025 kl. 14:00,N/A
