Course Code,Exam Type,Date(s),Room Info
AUT-1500,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
AUT-2501,Skriftlig skoleeksamen,Dato: 28. november 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
AUT-2503,Skriftlig skoleeksamen,Dato: 30. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
AUT-2504,Hjemmeeksamen,"Utlevering: 6. juni 2025 kl. 09:00
Innlevering: 6. juni 2025 kl. 13:00",N/A
AUT-2507,Skriftlig skoleeksamen,Dato: 13. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
AUT-2600,Skriftlig skoleeksamen,Dato: 25. november 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
AUT-2602,Hjemmeeksamen,"Utlevering: 22. november 2024 kl. 09:00
Innlevering: 22. november 2024 kl. 13:00",N/A
AUT-2604,Skriftlig skoleeksamen,Dato: 21. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
AUT-2605,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
AUT-2606,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
AUT-2607,Hjemmeeksamen,"Utlevering: 15. mai 2025 kl. 09:00
Innlevering: 15. mai 2025 kl. 13:00",N/A
AUT-2780,Oppgave,Innlevering: 16. mai 2025 kl. 14:00,N/A
AUT-2801,Skriftlig skoleeksamen,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
AUT-2802,Off campus exam,"Utlevering: 5. november 2024 kl. 09:00
Innlevering: 19. november 2024 kl. 14:00",N/A
BYG-2502,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(MO I RANA): Campus Helgeland – Undervisning
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E2463, Undervisningsrom
(NARVIK): E-Fløyen – E2470, Seminarrom
(NARVIK): E-Fløyen – E2471, Seminarrom
Finnsnes – Finnsnes
Universitetet i Agder – Universitetet i Agder"
BYG-2503,Skriftlig skoleeksamen,Dato: 10. juni 2025 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(NARVIK): E-Fløyen – E1480, Aktivt læringsrom
(NARVIK): E-Fløyen – E1540, Seminarrom
(NARVIK): E-Fløyen – E2430, Seminarrom
(NARVIK): E-Fløyen – E2463, Undervisningsrom"
BYG-2601,Skriftlig skoleeksamen,Dato: 5. desember 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(MO I RANA): Campus Helgeland – Undervisning
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E2463, Undervisningsrom
(NARVIK): E-Fløyen – E2470, Seminarrom
(NARVIK): E-Fløyen – E2471, Seminarrom
(NARVIK): E-Fløyen – E2550 Klasserom
Universitetet i Agder – Universitetet i Agder"
BYG-2602,Mappevurdering,Innlevering: 29. november 2024 kl. 12:00,N/A
