Course Code,Exam Type,Date(s),Room Info
ALI-1110,Hjemmeeksamen,"Utlevering: 19. november 2024 kl. 09:00
Innlevering: 21. november 2024 kl. 13:00",N/A
ALI-1111,Hjemmeeksamen,"Utlevering: 13. mai 2025 kl. 09:00
Innlevering: 15. mai 2025 kl. 13:00",N/A
ALI-1120,Hjemmeeksamen,"Utlevering: 2. desember 2024 kl. 09:00
Innlevering: 4. desember 2024 kl. 13:00",N/A
ALI-1130,Hjemmeeksamen,"Utlevering: 26. november 2024 kl. 09:00
Innlevering: 28. november 2024 kl. 13:00",N/A
ARK-1006,Mappevurdering,Innlevering: 23. mai 2025 kl. 14:00,N/A
ARK-1007,Hjemmeeksamen,"Utlevering: 18. november 2024 kl. 09:00
Innlevering: 2. desember 2024 kl. 14:00",N/A
ARK-1012,Mappevurdering,Innlevering: 7. mai 2025 kl. 14:00,N/A
ARK-1013,Hjemmeeksamen,"Utlevering: 22. november 2024 kl. 09:00
Innlevering: 29. november 2024 kl. 14:00",N/A
ARK-1015,Hjemmeeksamen,Innlevering: 14. mars 2025 kl. 14:00,N/A
ARK-1020,Hjemmeeksamen,Innlevering: 13. juni 2025 kl. 14:00,N/A
ARK-1021,Hjemmeeksamen,"Utlevering: 16. juni 2025 kl. 09:00
Innlevering: 30. juni 2025 kl. 14:00",N/A
ARK-1036,Mappevurdering,Innlevering: 19. mai 2025 kl. 14:00,N/A
ARK-2023,Mappevurdering,Innlevering: 19. mai 2025 kl. 14:00,N/A
ARK-2027,Oppgave,Innlevering: 19. mai 2025 kl. 14:00,N/A
ARK-2034,Hjemmeeksamen,"Utlevering: 22. april 2025 kl. 09:00
Innlevering: 6. mai 2025 kl. 14:00",N/A
ARK-3014,Oppgave,"Utlevering: 19. mai 2025 kl. 09:00
Innlevering: 26. mai 2025 kl. 14:00",N/A
ARK-3021,Hjemmeeksamen,Innlevering: 15. mai 2025 kl. 14:00,N/A
ARK-3026,Muntlig eksamen,Fra 3. desember  til 4. desember 2024,N/A
ARK-3026,Oppgave,"Utlevering: 20. november 2024 kl. 09:00
Innlevering: 27. november 2024 kl. 14:00",N/A
ARK-3900,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
BLU-1004,Hjemmeeksamen,"Utlevering: 5. mai 2025 kl. 09:00
Innlevering: 9. mai 2025 kl. 14:00",N/A
