Course Code,Exam Type,Date & Time,Room Info
EOM-3010,Assignment,N/A,N/A
EOM-3010,Assignment,N/A,N/A
EOM-3901,Assignment,N/A,N/A
EOM-3901,Assignment,N/A,N/A
FLY-1008,Oppgave,N/A,N/A
FLY-1009,Hjemmeeksamen,N/A,N/A
FLY-1600,Skriftlig skoleeksamen,3. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
FLY-2140,Oppgave,N/A,N/A
FLY-2140,Oppgave,N/A,N/A
FLY-2145,Oppgave,N/A,N/A
FLY-2601,Skriftlig skoleeksamen,5. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
FLY-2603,Muntlig eksamen,27. november 2024 kl. 08:00,N/A
FLY-3003,Hjemmeeksamen,N/A,N/A
FLY-3006,Hjemmeeksamen,N/A,N/A
FLY-3930,Oppgave,N/A,N/A
FYS-0001,Hjemmeeksamen,N/A,N/A
FYS-0100,Skriftlig skoleeksamen,16. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FYS-1001,Skriftlig skoleeksamen,4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FYS-1002,Skriftlig skoleeksamen,26. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
FYS-1003,Hjemmeeksamen,N/A,N/A
FYS-1003,Hjemmeeksamen,N/A,N/A
FYS-1008,Skriftlig skoleeksamen,11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FYS-1009,Skriftlig skoleeksamen,19. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
FYS-2000,School exam,10. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
FYS-2001,Skriftlig skoleeksamen,12. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
FYS-2006,School exam,28. november 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
FYS-2009,School exam,10. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
FYS-2010,Off campus exam,N/A,N/A
FYS-2010,School exam,11. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FYS-2015,Assignment,N/A,N/A
FYS-2015,Assignment,N/A,N/A
FYS-2016,Assignment,N/A,N/A
FYS-2016,Assignment,N/A,N/A
FYS-2018,School exam,22. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
FYS-2019,School exam,10. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
FYS-2020,School exam,2. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
FYS-2021,School exam,6. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FYS-2022,Off campus exam,N/A,N/A
FYS-2022,School exam,12. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
FYS-2023,Skriftlig skoleeksamen,26. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
FYS-2024,School exam,13. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
FYS-3001,Off campus exam,N/A,N/A
FYS-3001,Off campus exam,N/A,N/A
FYS-3012,School exam,16. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
FYS-3023,Oral exam,5. desember 2024 kl. 09:00,N/A
FYS-3024,Oral exam,29. november 2024 kl. 09:00,N/A
FYS-3028,School exam,29. november 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
FYS-3029,Off campus exam,N/A,N/A
FYS-3033,Off campus exam,N/A,N/A
FYS-3034,Oral exam,2. desember 2024 kl. 09:00,N/A
FYS-3730,Assignment,N/A,N/A
FYS-3730,Assignment,N/A,N/A
FYS-3740,Assignment,N/A,N/A
FYS-3740,Assignment,N/A,N/A
FYS-3750,Assignment,N/A,N/A
FYS-3900,Assignment,N/A,N/A
FYS-3901,Assignment,N/A,N/A
FYS-3907,Oppgave,N/A,N/A
FYS-3931,Assignment,N/A,N/A
FYS-3931,Assignment,N/A,N/A
FYS-3941,Assignment,N/A,N/A
FYS-3941,Assignment,N/A,N/A
FYS-3941,Assignment,N/A,N/A
FYS-3951,Assignment,N/A,N/A
FYS-8012,School exam,16. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
FYS-8028,School exam,29. november 2024 kl. 09:00,N/A
FYS-8029,Off campus exam,N/A,N/A
FYS-8033,Off campus exam,N/A,N/A
GEN-8001,Off campus exam,N/A,N/A
GEO-1001,Skriftlig skoleeksamen,11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
GEO-2002,Skriftlig skoleeksamen,2. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-2003,Skriftlig skoleeksamen,28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
GEO-2005,Skriftlig skoleeksamen,5. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-2006,Skriftlig skoleeksamen,26. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
GEO-2007,Skriftlig skoleeksamen,5. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-2008,School exam,16. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
GEO-2010,Skriftlig skoleeksamen,9. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-2011,Oppgave,N/A,N/A
GEO-2012,Oppgave,N/A,N/A
GEO-2014,Skriftlig skoleeksamen,21. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
GEO-2015,Off campus exam,N/A,N/A
GEO-2015,Off campus exam,N/A,N/A
GEO-2201,Oppgave,N/A,N/A
GEO-2201,Oppgave,N/A,N/A
GEO-3105,Assignment,N/A,N/A
GEO-3106,School exam,26. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
GEO-3111,School exam,26. november 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
GEO-3112,School exam,5. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-3113,Off campus exam,N/A,N/A
GEO-3126,Off campus exam,N/A,N/A
GEO-3130,Off campus exam,N/A,N/A
GEO-3135,Off campus exam,N/A,N/A
GEO-3137,School exam,28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
GEO-3138,Assignment,N/A,N/A
GEO-3138,School exam,3. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
GEO-3139,Off campus exam,N/A,N/A
GEO-3151,Off campus exam,N/A,N/A
GEO-3221,Assignment,N/A,N/A
GEO-3221,Assignment,N/A,N/A
GEO-3222,Assignment,N/A,N/A
GEO-3222,Assignment,N/A,N/A
GEO-3900,Assignment,N/A,N/A
GEO-8137,School exam,28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
GEO-8138,Assignment,N/A,N/A
GEO-8138,School exam,3. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
INF-1039,Mappe/sammensatt vurdering,N/A,N/A
INF-1041,Mappe/sammensatt vurdering,N/A,N/A
INF-1049,Skriftlig skoleeksamen,13. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
INF-1100,Hjemmeeksamen,N/A,N/A
INF-1101,Skriftlig skoleeksamen,6. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
