Course Code,Exam Type,Date(s),Room Info
BED-1002,Skriftlig skoleeksamen,Dato: 14. mai 2025 kl. 09:00,"(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
(NARVIK): E-Fløyen – E2470, Seminarrom
(NARVIK): E-Fløyen – E2471, Seminarrom
(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)"
BED-1002NETT,Hjemmeeksamen,"Utlevering: 14. mai 2025 kl. 09:00
Innlevering: 14. mai 2025 kl. 13:00",N/A
BED-1004,Skriftlig skoleeksamen,Dato: 26. november 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
(HARSTAD): Havnegata 5-7 – Grupperom 218
(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
(NARVIK): E-Fløyen – E2430, Seminarrom"
BED-1004NETT,Oppgave,Innlevering: 26. november 2024 kl. 14:00,N/A
BED-1007,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
(HARSTAD): Havnegata 5-7 – Grupperom 218
(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
(HARSTAD): Havnegata 5-7 – Undervisningsrom 9"
BED-1007NETT,Skriftlig skoleeksamen - Finnsnes,Dato: 2. desember 2024 kl. 09:00,Studiesenteret Midt-Troms – Rom 258 Finnsnes
BED-1007NETT,Skriftlig skoleeksamen - Oslo,Dato: 2. desember 2024 kl. 09:00,N/A
BED-1007NETT,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,"(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
(ALTA): Campus Alta Byggetrinn 3 – Rom A102, Kultursalen (Alta)
(NARVIK): E-Fløyen – E2461, Undervisningsrom
(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
(KIRKENES): UiT i Kirkenes – 1.05 Store klasserom"
BED-1007NETT,Skriftlig skoleeksamen - Storslett,Dato: 2. desember 2024 kl. 09:00,N/A
BED-1009,Oppgave,Innlevering: 13. desember 2024 kl. 14:00,N/A
BED-1009NETT,Oppgave,Innlevering: 13. desember 2024 kl. 14:00,N/A
BED-1013,Hjemmeeksamen,"Utlevering: 22. november 2024 kl. 09:00
Innlevering: 22. november 2024 kl. 13:00",N/A
BED-1013NETT,Hjemmeeksamen,"Utlevering: 22. november 2024 kl. 09:00
Innlevering: 22. november 2024 kl. 13:00",N/A
BED-2003,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
BED-2003NETT,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
BED-2010NETT,Skriftlig skoleeksamen,Dato: 13. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)
(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
(NARVIK): E-Fløyen – E1460, Seminarrom
Finnsnes – Finnsnes
(KIRKENES): UiT i Kirkenes – 402 Seminarrom"
BED-2011,Skriftlig skoleeksamen,Dato: 29. november 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
(NARVIK): E-Fløyen – E1540, Seminarrom"
BED-2011NETT,Skriftlig skoleeksamen,Dato: 29. november 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)
(HARSTAD): Havnegata 5-7 – Undervisningsrom 7
(NARVIK): E-Fløyen – E1540, Seminarrom
(KIRKENES): UiT i Kirkenes – 1.05 Store klasserom"
BED-2011NETT,Skriftlig skoleeksamen - Storslett,Dato: 29. november 2024 kl. 09:00,N/A
BED-2011NETT,Skriftlig skoleeksamen - Finnsnes,Dato: 29. november 2024 kl. 09:00,Studiesenteret Midt-Troms – Rom 258 Finnsnes
BED-2011NETT,Skriftlig skoleeksamen - Oslo,Dato: 29. november 2024 kl. 09:00,N/A
BED-2012,Skriftlig skoleeksamen,Dato: 29. november 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(NARVIK): E-Fløyen – E1540, Seminarrom"
BED-2019,Hjemmeeksamen,"Utlevering: 9. mai 2025 kl. 09:00
Innlevering: 9. mai 2025 kl. 13:00",N/A
BED-2019NETT,Hjemmeeksamen,"Utlevering: 9. mai 2025 kl. 09:00
Innlevering: 9. mai 2025 kl. 13:00",N/A
