Course Code,Exam Type,Date & Time,Room Info
ALI-1110,Hjemmeeksamen,N/A,N/A
ALI-1111,Hjemmeeksamen,N/A,N/A
ALI-1120,Hjemmeeksamen,N/A,N/A
ALI-1130,Hjemmeeksamen,N/A,N/A
ARK-1006,Mappevurdering,N/A,N/A
ARK-1007,Hjemmeeksamen,N/A,N/A
ARK-1012,Mappevurdering,N/A,N/A
ARK-1013,Hjemmeeksamen,N/A,N/A
ARK-1015,Hjemmeeksamen,N/A,N/A
ARK-1020,Hjemmeeksamen,N/A,N/A
ARK-1021,Hjemmeeksamen,N/A,N/A
ARK-1036,Mappevurdering,N/A,N/A
ARK-2023,Mappevurdering,N/A,N/A
ARK-2027,Oppgave,N/A,N/A
ARK-2034,Hjemmeeksamen,N/A,N/A
ARK-3014,Oppgave,N/A,N/A
ARK-3021,Hjemmeeksamen,N/A,N/A
ARK-3026,Muntlig eksamen,N/A,N/A
ARK-3026,Oppgave,N/A,N/A
ARK-3900,Oppgave,N/A,N/A
BLU-1004,Hjemmeeksamen,N/A,N/A
BLU-1014,Hjemmeeksamen,N/A,N/A
BLU-1024,Hjemmeeksamen,N/A,N/A
BLU-1208,Hjemmeeksamen,N/A,N/A
BLU-1213,Skriftlig skoleeksamen,12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BLU-1215,Hjemmeeksamen,N/A,N/A
BLU-1218,Hjemmeeksamen,N/A,N/A
BLU-1223,Skriftlig skoleeksamen,12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BLU-1228,Hjemmeeksamen,N/A,N/A
BLU-1238,Hjemmeeksamen,N/A,N/A
BLU-1243,Skriftlig skoleeksamen,12. desember 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
BLU-2000,Oppgave,N/A,N/A
BLU-2003,Oppgave,N/A,N/A
BLU-2012,Hjemmeeksamen,N/A,N/A
BLU-2013,Muntlig eksamen,N/A,N/A
BLU-2017,Muntlig eksamen,N/A,N/A
BLU-2021,Hjemmeeksamen,N/A,N/A
BNS-1040,Off campus exam,N/A,N/A
BVE-1051,Skriftlig skoleeksamen,28. november 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
BVE-1052,Skriftlig skoleeksamen,11. desember 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 3 – Rom A102, Kultursalen (Alta)"
BVE-1111,Hjemmeeksamen,N/A,N/A
BVE-1112,Muntlig eksamen,N/A,N/A
BVE-1113,Oppgave,N/A,N/A
BVE-1114,Muntlig eksamen,N/A,N/A
BVE-1551,Skriftlig skoleeksamen,28. november 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – Undervisningsrom 7
BVE-1552,Skriftlig skoleeksamen,11. desember 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
BVE-1611,Hjemmeeksamen,N/A,N/A
BVE-1612,Muntlig eksamen,N/A,N/A
BVE-1613,Oppgave,N/A,N/A
BVE-1614,Muntlig eksamen,N/A,N/A
BVE-2161,Hjemmeeksamen,N/A,N/A
BVE-2162,Muntlig eksamen,N/A,N/A
BVE-2162,Oppgave,N/A,N/A
BVE-2562,Bacheloroppgave,N/A,N/A
BVE-2661,Hjemmeeksamen,N/A,N/A
BVE-2662,Muntlig eksamen,N/A,N/A
BVE-2662,Oppgave,N/A,N/A
BVE-3010,Hjemmeeksamen,N/A,N/A
BVE-3020,Hjemmeeksamen,N/A,N/A
BVE-3020,Skriftlig skoleeksamen,4. desember 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
BVE-3030,Hjemmeeksamen,N/A,N/A
BVE-3060,Muntlig eksamen,N/A,N/A
BVE-3970,Oppgave,N/A,N/A
BVEX6,Hjemmeeksamen,N/A,N/A
BVEX6,Muntlig eksamen,N/A,N/A
