Course Code,Exam Type,Date & Time,Room Info
JUR-0500,Skriftlig skoleeksamen,5. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
JUR-1003,Skriftlig skoleeksamen,27. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
JUR-1005,Off campus exam,N/A,N/A
JUR-2011,Oppgave,N/A,N/A
JUR-2012,Hjemmeeksamen,N/A,N/A
JUR-2013,Skriftlig skoleeksamen,16. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
JUR-2511,Hjemmeeksamen,N/A,N/A
JUR-2512,Hjemmeeksamen,N/A,N/A
JUR-2513,Skriftlig skoleeksamen,6. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
JUR-3005,Oppgave,N/A,N/A
JUR-3009,Hjemmeeksamen,N/A,N/A
JUR-3010,Hjemmeeksamen,N/A,N/A
JUR-3012,Hjemmeeksamen,N/A,N/A
JUR-3013,Skriftlig skoleeksamen,28. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
JUR-3014,Skriftlig skoleeksamen,5. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
JUR-3050,School exam,29. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
JUR-3052,School exam,30. april 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
JUR-3053,Off campus exam,N/A,N/A
JUR-3054,School exam,9. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
JUR-3602,School exam,5. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
JUR-3608,Muntlig eksamen,N/A,N/A
JUR-3613,Skriftlig skoleeksamen,28. april 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
JUR-3614,Skriftlig skoleeksamen,13. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
JUR-3615,School exam,30. april 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
JUR-3616,Skriftlig skoleeksamen,26. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
JUR-3617,Skriftlig skoleeksamen,6. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
JUR-3618,Hjemmeeksamen,N/A,N/A
JUR-3619,Off campus exam,N/A,N/A
JUR-3621,Off campus exam,N/A,N/A
JUR-3623,School exam,26. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
JUR-3624,Off campus exam,N/A,N/A
JUR-3626,Off campus exam,N/A,N/A
JUR-3627,Off campus exam,N/A,N/A
JUR-3628,Muntlig eksamen,N/A,N/A
JUR-3901,Oppgave,N/A,N/A
JUR-3901,Oppgave,N/A,N/A
JUR-3902,Oppgave,N/A,N/A
JUR-3902,Oppgave,N/A,N/A
JUR-3903,Oppgave,N/A,N/A
JUR-3903,Oppgave,N/A,N/A
JUR-3920,Assignment,N/A,N/A
