Course Code,Exam Type,Date(s),Room Info
JUR-0500,Skriftlig skoleeksamen,Dato: 5. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3"
JUR-1003,Skriftlig skoleeksamen,Dato: 27. mai 2025 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3"
JUR-1005,Off campus exam,"Utlevering: 4. februar 2025 kl. 09:00
Innlevering: 10. februar 2025 kl. 14:00",N/A
JUR-2011,Oppgave,Innlevering: 27. november 2024 kl. 14:00,N/A
JUR-2012,Hjemmeeksamen,"Utlevering: 13. mai 2025 kl. 09:00
Innlevering: 16. mai 2025 kl. 14:00",N/A
JUR-2013,Skriftlig skoleeksamen,Dato: 16. juni 2025 kl. 09:00,"(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)"
JUR-2511,Hjemmeeksamen,"Utlevering: 10. desember 2024 kl. 09:00
Innlevering: 12. desember 2024 kl. 14:00",N/A
JUR-2512,Hjemmeeksamen,"Utlevering: 5. mai 2025 kl. 09:00
Innlevering: 8. mai 2025 kl. 14:00",N/A
JUR-2513,Skriftlig skoleeksamen,Dato: 6. juni 2025 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3"
JUR-3005,Oppgave,Innlevering: 29. november 2024 kl. 12:00,N/A
JUR-3009,Hjemmeeksamen,"Utlevering: 16. desember 2024 kl. 09:00
Innlevering: 17. desember 2024 kl. 12:00",N/A
JUR-3010,Hjemmeeksamen,"Utlevering: 16. desember 2024 kl. 09:00
Innlevering: 17. desember 2024 kl. 12:00",N/A
JUR-3012,Hjemmeeksamen,"Utlevering: 22. april 2025 kl. 09:00
Innlevering: 25. april 2025 kl. 14:00",N/A
