Course Code,Exam Type,Date & Time,Room Info
BED-1002,Skriftlig skoleeksamen,14. mai 2025 kl. 09:00,(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
BED-1002NETT,Hjemmeeksamen,N/A,N/A
BED-1004,Skriftlig skoleeksamen,26. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-1004NETT,Oppgave,N/A,N/A
BED-1007,Skriftlig skoleeksamen,2. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-1007NETT,Skriftlig skoleeksamen - Finnsnes,2. desember 2024 kl. 09:00,Studiesenteret Midt-Troms – Rom 258 Finnsnes
BED-1007NETT,Skriftlig skoleeksamen - Oslo,2. desember 2024 kl. 09:00,N/A
BED-1007NETT,Skriftlig skoleeksamen,2. desember 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
BED-1007NETT,Skriftlig skoleeksamen - Storslett,2. desember 2024 kl. 09:00,N/A
BED-1009,Oppgave,N/A,N/A
BED-1009NETT,Oppgave,N/A,N/A
BED-1013,Hjemmeeksamen,N/A,N/A
BED-1013NETT,Hjemmeeksamen,N/A,N/A
BED-2003,Oppgave,N/A,N/A
BED-2003NETT,Oppgave,N/A,N/A
BED-2010NETT,Skriftlig skoleeksamen,13. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-2011,Skriftlig skoleeksamen,29. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-2011NETT,Skriftlig skoleeksamen,29. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BED-2011NETT,Skriftlig skoleeksamen - Storslett,29. november 2024 kl. 09:00,N/A
BED-2011NETT,Skriftlig skoleeksamen - Finnsnes,29. november 2024 kl. 09:00,Studiesenteret Midt-Troms – Rom 258 Finnsnes
BED-2011NETT,Skriftlig skoleeksamen - Oslo,29. november 2024 kl. 09:00,N/A
BED-2012,Skriftlig skoleeksamen,29. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-2019,Hjemmeeksamen,N/A,N/A
BED-2019NETT,Hjemmeeksamen,N/A,N/A
BED-2020,Skriftlig skoleeksamen,4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-2020NETT,Skriftlig skoleeksamen,4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-2020NETT,Skriftlig skoleeksamen - Storslett,4. desember 2024 kl. 09:00,N/A
BED-2020NETT,Skriftlig skoleeksamen - Finnsnes,4. desember 2024 kl. 09:00,Studiesenteret Midt-Troms – Rom 258 Finnsnes
BED-2020NETT,Skriftlig skoleeksamen - Oslo,4. desember 2024 kl. 09:00,N/A
BED-2021NETT,Skriftlig skoleeksamen,5. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-2022NETT,Skriftlig skoleeksamen,10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-2022NETT,Skriftlig skoleeksamen - Oslo,10. desember 2024 kl. 09:00,N/A
BED-2022NETT,Skriftlig skoleeksamen - Storslett,10. desember 2024 kl. 09:00,N/A
BED-2023NETT,Hjemmeeksamen,N/A,N/A
BED-2024NETT,Skriftlig skoleeksamen,27. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-2025NETT,Skriftlig skoleeksamen,25. november 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
BED-2029,Hjemmeeksamen,N/A,N/A
BED-2029NETT,Hjemmeeksamen,N/A,N/A
BED-2032,Assignment,N/A,N/A
BED-2032NETT,Assignment,N/A,N/A
BED-2034NETT,Hjemmeeksamen,N/A,N/A
BED-2035,Off campus exam,N/A,N/A
BED-2043NETT,Oppgave,N/A,N/A
BED-2046,Oppgave,N/A,N/A
BED-2046,Skriftlig skoleeksamen,11. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-2048NETT,Hjemmeeksamen,N/A,N/A
BED-2049,Oppgave,N/A,N/A
BED-2052,Skriftlig skoleeksamen,4. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-2052NETT,Oppgave,N/A,N/A
BED-2053,Oppgave,N/A,N/A
BED-2057,Hjemmeeksamen,N/A,N/A
BED-2058,Muntlig eksamen,N/A,N/A
BED-2061NETT,Hjemmeeksamen,N/A,N/A
BED-2063,Off campus exam,N/A,N/A
BED-2108,Hjemmeeksamen,N/A,N/A
BED-2109,Muntlig eksamen,N/A,N/A
BED-2112,Skriftlig skoleeksamen,21. november 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
BED-2113,Skriftlig skoleeksamen,26. mai 2025 kl. 09:00,(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
BED-2123,Skriftlig skoleeksamen,2. desember 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – Undervisningsrom 7
BED-2125,Hjemmeeksamen,N/A,N/A
BED-2135,Mappevurdering,N/A,N/A
BED-2139,Mappevurdering,N/A,N/A
BED-2144,Off campus exam,N/A,N/A
BED-2149,Hjemmeeksamen,N/A,N/A
BED-2151NETT,Hjemmeeksamen,N/A,N/A
BED-2205,Oppgave,N/A,N/A
BED-2207,Oppgave,N/A,N/A
BED-2208,Assignment,N/A,N/A
BED-2209,Oppgave,N/A,N/A
BED-2210,Oppgave,N/A,N/A
BED-3003,Hjemmeeksamen,N/A,N/A
BED-3003,Oppgave,N/A,N/A
BED-3007H,Skriftlig skoleeksamen,11. desember 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – Undervisningsrom 8
BED-3011H,Skriftlig skoleeksamen,21. november 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
BED-3013H,Oppgave,N/A,N/A
BED-3043,Hjemmeeksamen,N/A,N/A
BED-3043,Skriftlig skoleeksamen,4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-3044H,Skriftlig skoleeksamen,6. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-3054H,Skriftlig skoleeksamen,27. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BED-3058H,Hjemmeeksamen,N/A,N/A
BED-3059,Oppgave,N/A,N/A
BED-3059,Skriftlig skoleeksamen,12. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-3065,Oppgave,N/A,N/A
BED-3065,Oppgave,N/A,N/A
BED-3065,Oppgave,N/A,N/A
BED-3067,Skriftlig skoleeksamen,26. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BED-3070,Oppgave,N/A,N/A
BED-3071,Hjemmeeksamen,N/A,N/A
BED-3073,Oppgave,N/A,N/A
BED-3074,Skriftlig skoleeksamen,12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BED-3074,iKomp,12. desember 2024 kl. 09:00,N/A
BED-3077,Assignment,N/A,N/A
BED-3083,Oppgave,N/A,N/A
BED-3085,Hjemmeeksamen,N/A,N/A
BED-3086,Hjemmeeksamen,N/A,N/A
BED-3087,Muntlig eksamen,N/A,N/A
BED-3088,Hjemmeeksamen,N/A,N/A
BED-3089,Hjemmeeksamen,N/A,N/A
BED-3090,Hjemmeeksamen,N/A,N/A
BED-3091,Hjemmeeksamen,N/A,N/A
BED-3093,Hjemmeeksamen,N/A,N/A
BED-3100,Hjemmeeksamen,N/A,N/A
BED-3107,Oppgave,N/A,N/A
BED-3108,Hjemmeeksamen,N/A,N/A
BED-3108,Hjemmeeksamen,N/A,N/A
BED-3111,Assignment,N/A,N/A
BED-3113,Oppgave,N/A,N/A
BED-3114,Muntlig eksamen,8. april 2025 kl. 08:30,N/A
BED-3114,Oppgave,N/A,N/A
BED-3114,Oppgave,N/A,N/A
BED-3115,Hjemmeeksamen,N/A,N/A
BED-3115,Skriftlig skoleeksamen,2. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
BED-3901,Oppgave,N/A,N/A
BED-3901H,Oppgave,N/A,N/A
BED-3901H,Oppgave,N/A,N/A
BED-3902,Oppgave,N/A,N/A
BED-3906,Oppgave,N/A,N/A
BED-3907,Oppgave,N/A,N/A
BED-3907,Oppgave,N/A,N/A
BED-3910,Oppgave,N/A,N/A
BED-8004,Assignment,N/A,N/A
BIO-1007,Mappevurdering,N/A,N/A
BIO-1008,Skriftlig skoleeksamen,11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-1103,Skriftlig skoleeksamen,16. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-1104,Skriftlig skoleeksamen,17. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
BIO-1105,Skriftlig skoleeksamen,20. november 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.203, bibliotek (Tromsø)"
BIO-1601,Skriftlig skoleeksamen,13. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-2002,Oppgave,N/A,N/A
BIO-2002,Skriftlig skoleeksamen,2. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
BIO-2004,Skriftlig skoleeksamen,2. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-2005,Muntlig eksamen,N/A,N/A
BIO-2016,Skriftlig skoleeksamen,10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BIO-2017,Skriftlig skoleeksamen,26. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BIO-2017,Skriftlig skoleeksamen,27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-2018,Oppgave,N/A,N/A
BIO-2027,Skriftlig skoleeksamen,27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
