Course Code,Exam Type,Date(s),Room Info
ERG-1100,Skriftlig skoleeksamen,Dato: 22. november 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)
(TROMSO): Teorifagbygget hus 3 – Rom 3.236, Kollokvierom"
ERG-1110,Mappevurdering,"Utlevering: 11. mars 2025 kl. 09:00
Innlevering: 17. mars 2025 kl. 14:00",N/A
ERG-2130,Mappevurdering,"Utlevering: 3. juni 2025 kl. 09:00
Innlevering: 5. juni 2025 kl. 13:00",N/A
ERG-2630,Oppgave,Innlevering: 28. mai 2025 kl. 14:00,N/A
ERG-2640,Mappevurdering,Innlevering: 10. juni 2025 kl. 14:00,N/A
ERN-1000,Skriftlig skoleeksamen,Dato: 9. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-1001,Skriftlig skoleeksamen,Dato: 13. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-2001,Skriftlig skoleeksamen,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-2009,Skriftlig skoleeksamen,Dato: 13. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-2012,School exam,Dato: 4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
ERN-2013,Oral exam,Dato: 22. november 2024 kl. 09:00,(TROMSO): Medisin og helsefagbygget 1 – Kollokvierom (U7.124)
ERN-2014,School exam,Dato: 11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-2015,Skriftlig skoleeksamen,Dato: 7. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
ERN-2025,Hjemmeeksamen,Innlevering: 30. mai 2025 kl. 12:00,N/A
ERN-2025,Muntlig eksamen,Dato: 13. juni 2025 kl. 09:15,N/A
ERN-2112,School exam,Dato: 4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
ERN-2114,School exam,Dato: 11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-3000,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
ERN-3001,Hjemmeeksamen,"Utlevering: 24. februar 2025 kl. 09:00
Innlevering: 3. mars 2025 kl. 09:00",N/A
ERN-3002,Skriftlig skoleeksamen,Dato: 26. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
ERN-3950,Oppgave,Innlevering: 15. mai 2025 kl. 12:00,N/A
FAR-1101,Muntlig eksamen,Fra 3. desember  til 6. desember 2024,N/A
FAR-2101,Skriftlig skoleeksamen,Dato: 12. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FAR-2204,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FAR-2205,Muntlig eksamen,Fra 26. november  til 27. november 2024,N/A
FAR-2207,Muntlig eksamen,Dato: 12. desember 2024 kl. 08:00,N/A
FAR-2301,Muntlig eksamen,Fra 3. desember  til 6. desember 2024,N/A
FAR-2301,Oppgave,Innlevering: 2. desember 2024 kl. 23:59,N/A
FAR-2301,Skriftlig prøve,Dato: 2. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
FAR-2302,Skriftlig skoleeksamen,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FAR-2402,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
FAR-3204,Muntlig eksamen,Fra 9. desember  til 11. desember 2024,N/A
FAR-3911,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
FRI-1436,Muntlig eksamen,Fra 3. desember  til 5. desember 2024,N/A
FRI-1442,Hjemmeeksamen,"Utlevering: 16. juni 2025 kl. 09:00
Innlevering: 19. juni 2025 kl. 14:00",N/A
FRI-1443,School exam,Dato: 3. april 2025 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)"
FRI-1851,Off campus exam,Innlevering: 26. februar 2025 kl. 16:00,N/A
FRI-2260,Hjemmeeksamen,"Utlevering: 2. juni 2025 kl. 09:00
Innlevering: 4. juni 2025 kl. 13:00",N/A
FRI-2581,Off campus exam,"Utlevering: 12. juni 2025 kl. 09:00
Innlevering: 16. juni 2025 kl. 14:00",N/A
FRI-2583,Off campus exam,"Utlevering: 12. juni 2025 kl. 09:00
Innlevering: 16. juni 2025 kl. 14:00",N/A
FYT-1110,Skriftlig skoleeksamen,Dato: 31. januar 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
FYT-1130,Hjemmeeksamen,"Utlevering: 12. mars 2025 kl. 09:00
Innlevering: 28. mars 2025 kl. 14:00",N/A
FYT-2110,Hjemmeeksamen,"Utlevering: 12. desember 2024 kl. 09:00
Innlevering: 19. desember 2024 kl. 14:00",N/A
FYT-2130,Mappevurdering,Innlevering: 14. mai 2025 kl. 14:00,N/A
FYT-2630,Oppgave,Innlevering: 20. mai 2025 kl. 14:00,N/A
HEL-0700,Oppgave,Innlevering: 29. november 2024 kl. 14:00,N/A
HEL-0730,Oppgave,Innlevering: 29. november 2024 kl. 14:00,N/A
HEL-0745,Oppgave,Innlevering: 23. mai 2025 kl. 14:00,N/A
HEL-0750,Oppgave,Innlevering: 29. november 2024 kl. 14:00,N/A
HEL-0760,Oppgave,Innlevering: 29. november 2024 kl. 14:00,N/A
HEL-1000,Hjemmeeksamen,"Utlevering: 7. mars 2025 kl. 09:00
Innlevering: 28. mars 2025 kl. 14:00",N/A
HEL-1700,Hjemmeeksamen,"Utlevering: 13. januar 2025 kl. 09:00
Innlevering: 12. juni 2025 kl. 14:00",N/A
HEL-3060,Off campus exam,"Utlevering: 22. november 2024 kl. 15:00
Innlevering: 6. desember 2024 kl. 14:00",N/A
HEL-3066,Off campus exam,"Utlevering: 29. november 2024 kl. 09:00
Innlevering: 16. desember 2024 kl. 14:00",N/A
HEL-3950,Assignment,"Utlevering: 1. november 2024 kl. 09:00
Innlevering: 1. desember 2024 kl. 23:59",N/A
HEL-3950,Assignment,Innlevering: 30. mai 2025 kl. 14:00,N/A
HEL-3961,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
HEL-3962,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
HEL-3963,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
HEL-3964,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
HEL-3965,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
HEL-3966,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
HEL-3967,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
HEL-6100,Hjemmeeksamen,"Utlevering: 7. februar 2025 kl. 09:00
Innlevering: 21. februar 2025 kl. 14:00",N/A
HEL-6101,Hjemmeeksamen,Innlevering: 9. mai 2025 kl. 14:00,N/A
HEL-6102,Hjemmeeksamen,Innlevering: 9. mai 2025 kl. 14:00,N/A
HEL-6317,Muntlig eksamen,Fra 27. mai  til 28. mai 2025,(TROMSO): Teorifagbygget hus 1 – Plan 2 rom til bruk for eksamen
HEL-6321,Oppgave,Innlevering: 25. november 2024 kl. 14:00,N/A
HEL-6321,Oppgave,Innlevering: 5. mai 2025 kl. 13:00,N/A
HEL-6322,Hjemmeeksamen,"Utlevering: 2. juni 2025 kl. 09:00
Innlevering: 2. juni 2025 kl. 14:00",N/A
HEL-6323,Hjemmeeksamen,"Utlevering: 30. mai 2025 kl. 09:00
Innlevering: 6. juni 2025 kl. 14:00",N/A
HEL-6324,Hjemmeeksamen,"Utlevering: 3. desember 2024 kl. 09:00
Innlevering: 9. desember 2024 kl. 14:00",N/A
HEL-6331,Muntlig eksamen,Fra 2. desember  til 13. desember 2024,N/A
HEL-8002,Off campus exam,Innlevering: 9. mai 2025 kl. 14:00,N/A
HEL-8003,Off campus exam,"Utlevering: 21. november 2024 kl. 16:00
Innlevering: 29. november 2024 kl. 14:00",N/A
HEL-8013,Off campus exam,"Utlevering: 22. november 2024 kl. 15:00
Innlevering: 6. desember 2024 kl. 14:00",N/A
HEL-8020,Hjemmeeksamen,Innlevering: 9. mai 2025 kl. 14:00,N/A
HEL-8026,Off campus exam,"Utlevering: 31. oktober 2024 kl. 16:00
Innlevering: 28. november 2024 kl. 14:00",N/A
HEL-8030,Off campus exam,"Utlevering: 28. februar 2025 kl. 16:00
Innlevering: 14. mars 2025 kl. 12:00",N/A
HEL-8031,Off campus exam,"Utlevering: 24. mars 2025 kl. 09:00
Innlevering: 14. april 2025 kl. 14:00",N/A
HEL-8040,Off campus exam,"Utlevering: 15. november 2024 kl. 09:00
Innlevering: 2. desember 2024 kl. 14:00",N/A
HEL-8040,Off campus exam,"Utlevering: 14. april 2025 kl. 09:00
Innlevering: 5. mai 2025 kl. 14:00",N/A
HEL-8042,Off campus exam,"Utlevering: 2. mai 2025 kl. 09:00
Innlevering: 16. mai 2025 kl. 14:00",N/A
HEL-8042,Off campus exam,"Utlevering: 2. desember 2024 kl. 09:00
Innlevering: 16. desember 2024 kl. 14:00",N/A
HEL-8044,School exam,Dato: 16. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
HEL-8045-EN,Off campus exam,"Utlevering: 16. april 2025 kl. 09:00
Innlevering: 30. april 2025 kl. 14:00",N/A
HEL-8045-NO,Hjemmeeksamen,"Utlevering: 14. november 2024 kl. 09:00
Innlevering: 28. november 2024 kl. 14:00",N/A
HEL-8046,Off campus exam,"Utlevering: 28. mai 2025 kl. 09:00
Innlevering: 13. juni 2025 kl. 14:00",N/A
HEL-8048,Off campus exam,"Utlevering: 5. mars 2025 kl. 09:00
Innlevering: 26. mars 2025 kl. 14:00",N/A
IDR-0510,Hjemmeeksamen,"Utlevering: 10. desember 2024 kl. 09:00
Innlevering: 12. desember 2024 kl. 13:00",N/A
IDR-1141,Hjemmeeksamen,"Utlevering: 21. mai 2025 kl. 09:00
Innlevering: 23. mai 2025 kl. 13:00",N/A
IDR-1321,Hjemmeeksamen,"Utlevering: 30. mai 2025 kl. 09:00
Innlevering: 3. juni 2025 kl. 14:00",N/A
IDR-1325,Skriftlig skoleeksamen,Dato: 28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
IDR-1430,Muntlig eksamen,Fra 4. desember  til 5. desember 2024,N/A
IDR-1525,Muntlig eksamen,Fra 5. desember  til 6. desember 2024,N/A
IDR-1541,Hjemmeeksamen,"Utlevering: 2. juni 2025 kl. 09:00
Innlevering: 4. juni 2025 kl. 13:00",N/A
IDR-2231,Skriftlig skoleeksamen,Dato: 28. november 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
IDR-2232,Skriftlig skoleeksamen,Dato: 28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
IDR-2250,Oppgave,Innlevering: 21. mai 2025 kl. 14:00,N/A
IDR-2281,Hjemmeeksamen,"Utlevering: 6. mai 2025 kl. 09:00
Innlevering: 12. mai 2025 kl. 14:00",N/A
IDR-3901,Oppgave,Innlevering: 15. desember 2024 kl. 14:00,N/A
IDR-3901,Oppgave,Innlevering: 30. mai 2025 kl. 14:00,N/A
IDR-3910,Oppgave,Innlevering: 13. desember 2024 kl. 14:00,N/A
IDR-3912,Oppgave,Innlevering: 6. desember 2024 kl. 14:00,N/A
IDR-3914,Oppgave,Innlevering: 14. mars 2025 kl. 14:00,N/A
IDR-3922,Oppgave,Innlevering: 21. mai 2025 kl. 14:00,N/A
IDR-6001,Hjemmeeksamen,"Utlevering: 15. desember 2024 kl. 09:00
Innlevering: 19. desember 2024 kl. 14:00",N/A
IDR-6001,Hjemmeeksamen,"Utlevering: 15. mars 2025 kl. 09:00
Innlevering: 19. mars 2025 kl. 14:00",N/A
IDR-6001,Hjemmeeksamen,"Utlevering: 15. juni 2025 kl. 09:00
Innlevering: 19. juni 2025 kl. 14:00",N/A
JMO-3001,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 09:00
Innlevering: 12. desember 2024 kl. 14:00",N/A
JMO-3008,Oppgave,Innlevering: 18. mars 2025 kl. 14:00,N/A
JMO-3021,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 09:00
Innlevering: 12. desember 2024 kl. 13:00",N/A
JMO-3022,Skriftlig skoleeksamen,Dato: 1. april 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
MBI-1000,Muntlig eksamen,Fra 28. november  til 29. november 2024,"(TROMSO): Medisin og helsefagbygget 2 – U.07.306, Grupperom"
MBI-1101,Mappevurdering,Innlevering: 7. mars 2025 kl. 12:00,N/A
MBI-1103,Skriftlig skoleeksamen,Dato: 20. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MBI-1104,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MBI-2001,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
MBI-2004,School exam,Dato: 2. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
MBI-2005,School exam,Dato: 28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MBI-2010,Assignment,Innlevering: 13. desember 2024 kl. 12:00,N/A
MBI-2010,Assignment,Innlevering: 2. juni 2025 kl. 12:00,N/A
MBI-2011,Skriftlig skoleeksamen,Dato: 27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MBI-2012,Skriftlig skoleeksamen,Dato: 20. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MBI-2013,Skriftlig skoleeksamen,Dato: 13. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
MBI-2014,Oppgave,Innlevering: 2. juni 2025 kl. 12:00,N/A
MBI-2101,Skriftlig skoleeksamen,Dato: 27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
MBI-2102,Muntlig eksamen,Fra 9. desember  til 11. desember 2024,N/A
MBI-2104,Muntlig eksamen,Fra 2. juni  til 5. juni 2025,N/A
MBI-2105,Hjemmeeksamen,"Utlevering: 27. november 2024 kl. 09:00
Innlevering: 4. desember 2024 kl. 14:00",N/A
MBI-2105,Skriftlig skoleeksamen,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
MBI-2106,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MBI-2106,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MBI-2108,Muntlig eksamen,Fra 10. juni  til 12. juni 2025,N/A
MBI-2108,Oppgave,Innlevering: 30. mai 2025 kl. 09:00,N/A
MBI-2110,Muntlig eksamen,Fra 19. mai  til 20. mai 2025,N/A
MBI-2111,Skriftlig skoleeksamen,Dato: 23. april 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
MBI-3012,Oral exam,Fra 9. desember  til 10. desember 2024,"(TROMSO): Medisin og helsefagbygget 2 – U.07.306, Grupperom
(TROMSO): Medisin og helsefagbygget 2 – U.07.308, Undervisningsrom"
MBI-3012,School exam,Dato: 5. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
MBI-3013,School exam,Dato: 20. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MBI-3015,Skriftlig skoleeksamen,Dato: 26. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MBI-3911,Assignment,Innlevering: 15. mai 2025 kl. 12:00,N/A
MED-1501,Skriftlig skoleeksamen,Dato: 3. juni 2025 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3"
MED-2502,Skriftlig skoleeksamen,Dato: 16. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3"
