Course Code,Exam Type,Date & Time,Room Info
ERG-1100,Skriftlig skoleeksamen,22. november 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
ERG-1110,Mappevurdering,N/A,N/A
ERG-2130,Mappevurdering,N/A,N/A
ERG-2630,Oppgave,N/A,N/A
ERG-2640,Mappevurdering,N/A,N/A
ERN-1000,Skriftlig skoleeksamen,9. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-1001,Skriftlig skoleeksamen,13. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-2001,Skriftlig skoleeksamen,10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-2009,Skriftlig skoleeksamen,13. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-2012,School exam,4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
ERN-2013,Oral exam,22. november 2024 kl. 09:00,(TROMSO): Medisin og helsefagbygget 1 – Kollokvierom (U7.124)
ERN-2014,School exam,11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-2015,Skriftlig skoleeksamen,7. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
ERN-2025,Hjemmeeksamen,N/A,N/A
ERN-2025,Muntlig eksamen,13. juni 2025 kl. 09:15,N/A
ERN-2112,School exam,4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
ERN-2114,School exam,11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ERN-3000,Skriftlig skoleeksamen,12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
ERN-3001,Hjemmeeksamen,N/A,N/A
ERN-3002,Skriftlig skoleeksamen,26. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
ERN-3950,Oppgave,N/A,N/A
FAR-1101,Muntlig eksamen,N/A,N/A
FAR-2101,Skriftlig skoleeksamen,12. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FAR-2204,Skriftlig skoleeksamen,12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FAR-2205,Muntlig eksamen,N/A,N/A
FAR-2207,Muntlig eksamen,12. desember 2024 kl. 08:00,N/A
FAR-2301,Muntlig eksamen,N/A,N/A
FAR-2301,Oppgave,N/A,N/A
FAR-2301,Skriftlig prøve,2. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
FAR-2302,Skriftlig skoleeksamen,10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FAR-2402,Skriftlig skoleeksamen,3. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
FAR-3204,Muntlig eksamen,N/A,N/A
FAR-3911,Oppgave,N/A,N/A
FRI-1436,Muntlig eksamen,N/A,N/A
FRI-1442,Hjemmeeksamen,N/A,N/A
FRI-1443,School exam,3. april 2025 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)"
FRI-1851,Off campus exam,N/A,N/A
FRI-2260,Hjemmeeksamen,N/A,N/A
FRI-2581,Off campus exam,N/A,N/A
FRI-2583,Off campus exam,N/A,N/A
FYT-1110,Skriftlig skoleeksamen,31. januar 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
FYT-1130,Hjemmeeksamen,N/A,N/A
FYT-2110,Hjemmeeksamen,N/A,N/A
FYT-2130,Mappevurdering,N/A,N/A
FYT-2630,Oppgave,N/A,N/A
HEL-0700,Oppgave,N/A,N/A
HEL-0730,Oppgave,N/A,N/A
HEL-0745,Oppgave,N/A,N/A
