Course Code,Exam Type,Date & Time,Room Info
FOR-1000,Oppgave,N/A,N/A
FOR-1002,Oppgave,N/A,N/A
FOR-1003,Oppgave,N/A,N/A
LAN-3071,Muntlig eksamen,N/A,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4004, Prosjektrom"
LAN-3071,Praktisk eksamen,N/A,N/A
LAN-3082,Hjemmeeksamen,N/A,N/A
LAN-3091,Praktisk eksamen,N/A,N/A
LAR-3071,Oral exam,N/A,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4004, Prosjektrom"
LAR-3071,Practical exam,N/A,N/A
LAR-3082,Off campus exam,N/A,N/A
LAR-3091,Practical exam,N/A,(TROMSO): Kunstakademiet (Mackbygget) – Rom 2405 Muck-up room
LAR-3091,Oral exam,N/A,N/A
MUS-1504,Muntlig eksamen,N/A,N/A
MUS-1506,Hjemmeeksamen,N/A,N/A
MUS-1508,Hjemmeeksamen,N/A,N/A
MUS-1514,Praktisk eksamen,10. desember 2024 kl. 09:00,N/A
MUS-1514,Praktisk eksamen,10. desember 2024 kl. 09:00,N/A
MUS-1514,Praktisk eksamen,10. desember 2024 kl. 09:00,N/A
MUS-1514,Praktisk eksamen,10. desember 2024 kl. 09:00,N/A
MUS-1604,Hjemmeeksamen,N/A,N/A
MUS-1606,Mappevurdering,N/A,N/A
MUS-1608,Hjemmeeksamen,N/A,N/A
MUS-2111,Mappevurdering,N/A,N/A
MUS-2207,Mappevurdering,N/A,N/A
MUS-2208,Hjemmeeksamen,N/A,N/A
MUS-2503,Hjemmeeksamen,N/A,N/A
MUS-2814,Oppgave,N/A,N/A
MUS-2901,Hjemmeeksamen,N/A,N/A
MUS-2904,Hjemmeeksamen,N/A,N/A
MUS-3201,Oppgave,N/A,N/A
MUS-3201,Skriftlig skoleeksamen,15. april 2025 kl. 09:00,N/A
MUS-3302,Hjemmeeksamen,N/A,N/A
MUS-3303,Hjemmeeksamen,N/A,N/A
MUS-3412,Portfolio,N/A,N/A
MUS-5010,Hjemmeeksamen,N/A,N/A
MUS-5011,Hjemmeeksamen,N/A,N/A
MUS-5012,Mappevurdering,N/A,N/A
MUS-5012,Mappevurdering,N/A,N/A
MUS-5013,Hjemmeeksamen,N/A,N/A
MUS-5014,Hjemmeeksamen,N/A,N/A
SAK-1001,Muntlig eksamen,N/A,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4401, Galleri 1"
SAK-1001,Praktisk eksamen,N/A,N/A
SAK-1001,Oppgave,N/A,N/A
SAK-1002,Portfolio,N/A,N/A
SAK-1003,Muntlig eksamen,N/A,(TROMSO): Kunstakademiet (Mackbygget) – Rom 4002/5002 Galleri 2 (Snerk)
SAK-1003,Praktisk eksamen,N/A,N/A
SAK-1003,Oppgave,N/A,N/A
SAK-1004,Portfolio,N/A,N/A
SAK-2001,Muntlig eksamen,N/A,(TROMSO): Kunstakademiet (Mackbygget) – Rom 4002/5002 Galleri 2 (Snerk)
SAK-2001,Praktisk eksamen,N/A,N/A
SAK-2001,Oppgave,N/A,N/A
SAK-2002,Publikasjon,N/A,N/A
SAK-3007,Oral exam,N/A,(TROMSO): Kunstakademiet (Mackbygget) – Rom 4002/5002 Galleri 2 (Snerk)
SAK-3007,Practial exam,N/A,N/A
SAK-3007,Assignment,N/A,N/A
SAK-3008,Portfolio,N/A,N/A
SAK-3009,Oral exam,N/A,(TROMSO): Kunstakademiet (Mackbygget) – Rom 4002/5002 Galleri 2 (Snerk)
SAK-3009,Practical exam,N/A,N/A
SAK-3009,Assignment,N/A,N/A
SAK-3905,Publication,N/A,N/A
