Course Code,Exam Type,Date(s),Room Info
FOR-1000,Oppgave,"Utlevering: 5. mai 2025 kl. 09:00
Innlevering: 12. mai 2025 kl. 09:00",N/A
FOR-1002,Oppgave,Innlevering: 6. mai 2025 kl. 14:00,N/A
FOR-1003,Oppgave,"Utlevering: 23. april 2025 kl. 09:00
Innlevering: 30. april 2025 kl. 09:00",N/A
LAN-3071,Muntlig eksamen,Fra 10. desember  til 10. desember 2024,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4004, Prosjektrom"
LAN-3071,Praktisk eksamen,Fra 10. desember  til 12. desember 2024,N/A
LAN-3082,Hjemmeeksamen,"Utlevering: 4. april 2025 kl. 09:00
Innlevering: 11. april 2025 kl. 14:00",N/A
LAN-3091,Praktisk eksamen,Fra 10. desember  til 12. desember 2024,N/A
LAR-3071,Oral exam,Fra 10. desember  til 12. desember 2024,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4004, Prosjektrom"
LAR-3071,Practical exam,Fra 10. desember  til 12. desember 2024,N/A
LAR-3082,Off campus exam,"Utlevering: 4. april 2025 kl. 09:00
Innlevering: 11. april 2025 kl. 14:00",N/A
LAR-3091,Practical exam,Fra 10. desember  til 12. desember 2024,(TROMSO): Kunstakademiet (Mackbygget) – Rom 2405 Muck-up room
LAR-3091,Oral exam,Fra 10. desember  til 12. desember 2024,N/A
MUS-1504,Muntlig eksamen,Fra 12. desember  til 14. desember 2024,N/A
MUS-1506,Hjemmeeksamen,"Utlevering: 7. mai 2025 kl. 09:00
Innlevering: 6. juni 2025 kl. 14:00",N/A
MUS-1508,Hjemmeeksamen,"Utlevering: 13. mai 2025 kl. 10:00
Innlevering: 16. mai 2025 kl. 14:00",N/A
MUS-1514,Praktisk eksamen,Dato: 10. desember 2024 kl. 09:00,N/A
MUS-1514,Praktisk eksamen,Dato: 10. desember 2024 kl. 09:00,N/A
MUS-1514,Praktisk eksamen,Dato: 10. desember 2024 kl. 09:00,N/A
MUS-1514,Praktisk eksamen,Dato: 10. desember 2024 kl. 09:00,N/A
MUS-1604,Hjemmeeksamen,"Utlevering: 13. mai 2025 kl. 14:00
Innlevering: 14. mai 2025 kl. 14:00",N/A
MUS-1606,Mappevurdering,Innlevering: 3. juni 2025 kl. 14:00,N/A
MUS-1608,Hjemmeeksamen,"Utlevering: 25. november 2024 kl. 08:00
Innlevering: 9. desember 2024 kl. 14:00",N/A
MUS-2111,Mappevurdering,Innlevering: 12. mai 2025 kl. 14:00,N/A
MUS-2207,Mappevurdering,Innlevering: 14. mai 2025 kl. 14:00,N/A
MUS-2208,Hjemmeeksamen,"Utlevering: 30. mai 2025 kl. 09:00
Innlevering: 6. juni 2025 kl. 14:00",N/A
MUS-2503,Hjemmeeksamen,"Utlevering: 2. mai 2025 kl. 09:00
Innlevering: 16. mai 2025 kl. 14:00",N/A
MUS-2814,Oppgave,Innlevering: 14. mai 2025 kl. 14:00,N/A
MUS-2901,Hjemmeeksamen,"Utlevering: 29. april 2025 kl. 14:00
Innlevering: 30. april 2025 kl. 14:00",N/A
MUS-2904,Hjemmeeksamen,"Utlevering: 29. april 2025 kl. 14:00
Innlevering: 30. april 2025 kl. 14:00",N/A
MUS-3201,Oppgave,Innlevering: 15. april 2025 kl. 14:00,N/A
MUS-3201,Skriftlig skoleeksamen,Dato: 15. april 2025 kl. 09:00,N/A
MUS-3302,Hjemmeeksamen,Innlevering: 15. april 2025 kl. 14:00,N/A
MUS-3303,Hjemmeeksamen,Innlevering: 15. april 2025 kl. 14:00,N/A
MUS-3412,Portfolio,Innlevering: 12. juni 2025 kl. 14:00,N/A
MUS-5010,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 14:00
Innlevering: 10. desember 2024 kl. 14:00",N/A
MUS-5011,Hjemmeeksamen,Innlevering: 30. april 2025 kl. 14:00,N/A
MUS-5012,Mappevurdering,Innlevering: 16. desember 2024 kl. 14:00,N/A
MUS-5012,Mappevurdering,Innlevering: 6. juni 2025 kl. 14:00,N/A
MUS-5013,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 12:00
Innlevering: 10. desember 2024 kl. 12:00",N/A
MUS-5014,Hjemmeeksamen,Innlevering: 30. april 2025 kl. 14:00,N/A
SAK-1001,Muntlig eksamen,Fra 9. desember  til 13. desember 2024,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4401, Galleri 1"
SAK-1001,Praktisk eksamen,Fra 9. desember  til 13. desember 2024,N/A
SAK-1001,Oppgave,Innlevering: 28. november 2024 kl. 14:00,N/A
SAK-1002,Portfolio,Innlevering: 12. mai 2025 kl. 16:00,N/A
SAK-1003,Muntlig eksamen,Fra 9. desember  til 13. desember 2024,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4002/5002 Galleri 2 (Snerk)
(TROMSO): Kunstakademiet (Mackbygget) – Rom 4401, Galleri 1"
SAK-1003,Praktisk eksamen,Fra 9. desember  til 13. desember 2024,N/A
SAK-1003,Oppgave,Innlevering: 28. november 2024 kl. 14:00,N/A
SAK-1004,Portfolio,Innlevering: 12. mai 2025 kl. 16:00,N/A
SAK-2001,Muntlig eksamen,Fra 9. desember  til 13. desember 2024,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4002/5002 Galleri 2 (Snerk)
(TROMSO): Kunstakademiet (Mackbygget) – Rom 4401, Galleri 1"
SAK-2001,Praktisk eksamen,Fra 9. desember  til 13. desember 2024,N/A
SAK-2001,Oppgave,Innlevering: 28. november 2024 kl. 14:00,N/A
SAK-2002,Publikasjon,Innlevering: 12. mai 2025 kl. 16:00,N/A
SAK-3007,Oral exam,Fra 9. desember  til 13. desember 2024,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4002/5002 Galleri 2 (Snerk)
(TROMSO): Kunstakademiet (Mackbygget) – Rom 4401, Galleri 1"
SAK-3007,Practial exam,Fra 9. desember  til 13. desember 2024,N/A
SAK-3007,Assignment,Innlevering: 28. november 2024 kl. 14:00,N/A
SAK-3008,Portfolio,Innlevering: 12. mai 2025 kl. 16:00,N/A
SAK-3009,Oral exam,Fra 9. desember  til 13. desember 2024,"(TROMSO): Kunstakademiet (Mackbygget) – Rom 4002/5002 Galleri 2 (Snerk)
(TROMSO): Kunstakademiet (Mackbygget) – Rom 4401, Galleri 1"
SAK-3009,Practical exam,Fra 9. desember  til 13. desember 2024,N/A
SAK-3009,Assignment,Innlevering: 28. november 2024 kl. 14:00,N/A
SAK-3905,Publication,Innlevering: 12. mai 2025 kl. 16:00,N/A
