course_code,exam_type,start_time,end_time,location
ALI-1110,Hjemmeeksamen,2024-11-19 09:00:00,2024-11-21 13:00:00,N/A
ALI-1111,Hjemmeeksamen,2025-05-13 09:00:00,2025-05-15 13:00:00,N/A
ALI-1120,Hjemmeeksamen,2024-12-02 09:00:00,2024-12-04 13:00:00,N/A
ALI-1130,Hjemmeeksamen,2024-11-26 09:00:00,2024-11-28 13:00:00,N/A
ARK-1006,Mappevurdering,2025-05-23 14:00:00,,N/A
ARK-1007,Hjemmeeksamen,2024-11-18 09:00:00,2024-12-02 14:00:00,N/A
ARK-1012,Mappevurdering,2025-05-07 14:00:00,,N/A
ARK-1013,Hjemmeeksamen,2024-11-22 09:00:00,2024-11-29 14:00:00,N/A
ARK-1015,Hjemmeeksamen,2025-03-14 14:00:00,,N/A
ARK-1020,Hjemmeeksamen,2025-06-13 14:00:00,,N/A
ARK-1021,Hjemmeeksamen,2025-06-16 09:00:00,2025-06-30 14:00:00,N/A
ARK-1036,Mappevurdering,2025-05-19 14:00:00,,N/A
ARK-2023,Mappevurdering,2025-05-19 14:00:00,,N/A
ARK-2027,Oppgave,2025-05-19 14:00:00,,N/A
ARK-2034,Hjemmeeksamen,2025-04-22 09:00:00,2025-05-06 14:00:00,N/A
ARK-3014,Oppgave,2025-05-19 09:00:00,2025-05-26 14:00:00,N/A
ARK-3021,Hjemmeeksamen,2025-05-15 14:00:00,,N/A
ARK-3026,Muntlig_eksamen,2024-12-03 00:00:00,2024-12-04 00:00:00,N/A
ARK-3026,Oppgave,2024-11-20 09:00:00,2024-11-27 14:00:00,N/A
ARK-3900,Oppgave,2025-05-15 14:00:00,,N/A
BLU-1004,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-09 14:00:00,N/A
BLU-1014,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-09 14:00:00,N/A
BLU-1024,Hjemmeeksamen,2024-11-25 09:00:00,2024-11-29 14:00:00,N/A
BLU-1208,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-09 14:00:00,N/A
BLU-1213,Skriftlig_skoleeksamen,2024-12-12 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BLU-1215,Hjemmeeksamen,2025-06-03 09:00:00,2025-06-05 13:00:00,N/A
BLU-1218,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-09 14:00:00,N/A
BLU-1223,Skriftlig_skoleeksamen,2024-12-12 09:00:00,,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BLU-1228,Hjemmeeksamen,2025-03-03 09:00:00,2025-03-07 14:00:00,N/A
BLU-1238,Hjemmeeksamen,2025-05-05 09:00:00,2025-05-09 14:00:00,N/A
BLU-1243,Skriftlig_skoleeksamen,2024-12-12 09:00:00,,(HARSTAD): Havnegata 5-7 – 112 Undervisningsrom 2
BLU-2000,Oppgave,2025-05-15 14:00:00,,N/A
BLU-2003,Oppgave,2025-05-16 14:00:00,,N/A
BLU-2012,Hjemmeeksamen,2024-12-09 09:00:00,2024-12-13 14:00:00,N/A
BLU-2013,Muntlig_eksamen,2024-12-09 00:00:00,2024-12-12 00:00:00,N/A
BLU-2017,Muntlig_eksamen,2024-12-09 00:00:00,2024-12-12 00:00:00,N/A
BLU-2021,Hjemmeeksamen,2024-12-09 09:00:00,2024-12-11 14:00:00,N/A
